escad_code,Description,X,Y,Group,Zone,Agency
S03BE,Bellerive Police Station,147.3699,-42.86416667,Southern District,S,Police
S03BI,Bicheno Police Station,148.3019667,-41.87455,Southern District,S,Police
S03CA,Rotorlift,147.501167,-42.838833,Southern District,S,Police
S03DU,Dunalley Police Station,147.8102833,-42.88733333,Southern District,S,Police
S03LI,Motor Yacht Club of Tasmania,147.3526,-42.8515,Southern District,S,Police
S03NU,Nubeena Police Station,147.7440667,-43.09598333,Southern District,S,Police
S03OR,Orford Police Station,147.8718833,-42.56108333,Southern District,S,Police
S03PA,Police Academy,147.4578,-42.908933,Southern District,S,Police
S03RI,Richmond Police Station,147.4391667,-42.7361,Southern District,S,Police
S03RO,Clarence Plains Police Station,147.4538833,-42.90651667,Southern District,S,Police
S03SO,Sorell Police Station,147.56275,-42.78486667,Southern District,S,Police
S03SW,Swansea Police Station,148.0749167,-42.12461667,Southern District,S,Police
S03TB,Triabunna Boat Shed,147.909948,-42.508819,Southern District,S,Police
S03TR,Triabunna Police Station,147.9101,-42.50866667,Southern District,S,Police
S04AL,Alonnah Police Station,147.24345,-43.31555,Southern District,S,Police
S04CY,Cygnet Police Station,147.0740667,-43.15726667,Southern District,S,Police
S04DO,Dover Police Station,147.0158667,-43.31288333,Southern District,S,Police
S04GE,Geeveston Police Station,146.9286333,-43.16388333,Southern District,S,Police
S04HU,Huonville Police Station,147.0502667,-43.03118333,Southern District,S,Police
S04KI,Kingston Police Station,147.3106833,-42.9759,Southern District,S,Police
S04WO,Woodbridge Police Station,147.2387333,-43.15963333,Southern District,S,Police
S05BO,Bothwell Police Station,147.0026667,-42.38226667,Southern District,S,Police
S05BP,Bushy Park Police Station,146.8985167,-42.70926667,Southern District,S,Police
S05BW,Bridgewater Police Station,147.2442833,-42.73781667,Southern District,S,Police
S05HA,Hamilton Police Station,146.8303667,-42.56058333,Southern District,S,Police
S05KE,Kempton Police Station,147.2007667,-42.53205,Southern District,S,Police
S05LI,Liawenee Police Station,146.6738,-41.90173333,Southern District,S,Police
S05MA,Maydena Police Station,146.62485,-42.75693333,Southern District,S,Police
S05NN,New Norfolk Police Station,147.0672833,-42.77963333,Southern District,S,Police
S05OA,Oatlands Police Station,147.3739833,-42.29898333,Southern District,S,Police
SABBRG,SOUTH ARM,147.415741,-43.028027,CLARENCE,S,Fire
SAODIV,STATE AIR OPS,147.32666,-42.878344,,S,Fire
SARN,SAR SES NTH,147.16855,-41.482569,SES NORTHERN REGION,N,SES
SARNW,SAR NW SES,145.905838,-41.053645,SES NORTH WEST REGION,NW,SES
SARS,SAR SES STH,147.404794,-42.860982,SES SOUTHERN REGION,S,SES
SASBRG,SASSAFRAS,146.516706,-41.301528,PARDOE,NW,Fire
SBBBRG,SOUTH BRUNY,147.30218,-43.31244,D ENTRECASTEAUX,S,Fire
SCABRG,SCAMANDER,148.261313,-41.454143,BEAUMARIS,N,Fire
SDLBRG,SCOTTSDALE,147.5107,-41.159509,DORSET,N,Fire
SE DIS,SOUTH ESK DISTRICT,147.169563,-41.482723,,N,Fire
SESSTH,SES SOUTHERN REGION MANG,147.3284814,-42.879023,SES SOUTHERN REGION,S,SES
SFBBRG,SANDFLY,147.195063,-42.985391,NORTHWEST BAY,S,Fire
SFDBRG,SANDFORD,147.500397,-42.94639,CLARENCE,S,Fire
SHBBRG,ST HELENS,148.245745,-41.323013,BEAUMARIS,N,Fire
SHNBRG,STRAHAN,145.328935,-42.149602,WEST COAST,NW,Fire
SHQ,STATE HEADQUARTERS,147.326806,-42.878109,,S,Fire
SLDBRG,SHEFFIELD,146.323925,-41.382625,ROLAND,NW,Fire
SLSBRG,SUMMERLEAS,147.276853,-42.961359,NORTHWEST BAY,S,Fire
SMBBRG,ST MARYS,148.18305,-41.580562,GOLDEN GATE,N,Fire
SMSESK,SOUTHERN MIDLANDS SES - KEMPTON,147.199798,-42.532063,SES SOUTHERN REGION,S,SES
SMSESO,SOUTHERN MIDLANDS SES - OATLANDS,147.374229,-42.298883,SES SOUTHERN REGION,S,SES
SMTBRG,SOMERSET,145.829973,-41.045055,CAPE COUNTRY,NW,Fire
SNGBRG,SNUG,147.254193,-43.067933,NORTHWEST BAY,S,Fire
SNTBRG,SPRENT,146.156182,-41.266598,LEVEN,NW,Fire
SO DIV,STATE OPERATIONS,147.32666,-42.878344,,S,Fire
SPRBRG,ST PATRICKS RIVER,147.348145,-41.334543,LAUNCESTON,N,Fire
SPTBRG,SOUTHPORT,146.979575,-43.434146,ESPERANCE,S,Fire
STABRG,STANLEY,145.293309,-40.762726,CIRCULAR HEAD,NW,Fire
STBBRG,SISTERS BEACH,145.564984,-40.918184,CAPE COUNTRY,NW,Fire
STNBRG,SMITHTON,145.123425,-40.843789,CIRCULAR HEAD,NW,Fire
SW DIS,SOUTH WEST DISTRICT,147.04663,-43.027899,,S,Fire
SWSBRG,SWANSEA,148.076332,-42.125076,GLAMORGAN,S,Fire
SWTBRG,STOWPORT/NATONE,145.923477,-41.171428,CAPE COUNTRY,NW,Fire
TAMDIS,TAMAR DISTRICT,147.169563,-41.482723,,N,Fire
TASSES,TASMAN SES,147.742747,-43.095156,SES SOUTHERN REGION,S,SES
TBABRG,TRIABUNNA,147.91771,-42.507465,SPRING BAY,S,Fire
TBAORF,TRIABUNNA - ORFORD SUB STATION,147.875961,-42.560637,SPRING BAY,S,Fire
TBGBRG,TUNBRIDGE,147.428757,-42.139456,DULVERTON,S,Fire
TCKBRG,TUNNACK,147.461267,-42.454573,DULVERTON,S,Fire
TFTDIV,TASFIRE TRAINING,147.448005,-42.83451,,S,Fire
TLNBRG,TARLETON,146.379554,-41.230961,BARRINGTON,NW,Fire
TNABRG,TAROONA,147.352279,-42.949914,DERWENT,S,Fire
TOGBRG,TOGARI,144.879497,-40.960055,CIRCULAR HEAD,NW,Fire
TOMBRG,TOMAHAWK,147.761515,-40.869531,MT CAMERON,N,Fire
TTBBRG,TEA TREE,147.333625,-42.691236,COAL RIVER,S,Fire
TULBRG,TULLAH,145.614396,-41.737586,WEST COAST,NW,Fire
UCBBRG,UPPER CALDER,145.630856,-41.068714,CAPE COUNTRY,NW,Fire
UHBBRG,UPPER HUON,146.928611,-42.997611,HUON,S,Fire
ULVBRG,ULVERSTONE,146.164638,-41.164125,LEVEN,NW,Fire
W10BU,Burnie Police Headquarters,145.9054333,-41.05406667,Western District,W,Police
W10SM,Smithton Police Station,145.12475,-40.84145,Western District,W,Police
W10ST,Stanley Police Station,145.295117,-40.759167,Western District,W,Police
W10WY,Wynyard Police Station,145.7265833,-40.99031667,Western District,W,Police
W11DE,Devonport Police Station,146.3604667,-41.18336667,Western District,W,Police
W11LA,Latrobe Police Station,146.4130167,-41.23516667,Western District,W,Police
W11PS,Port Sorell Police Station,146.54035,-41.16015,Western District,W,Police
W11RA,Railton Police Station,146.4219,-41.34616667,Western District,W,Police
W11SH,Sheffield Police Station,146.3231833,-41.38111667,Western District,W,Police
W12CU,Currie Police Station,143.85245,-39.92948333,Western District,W,Police
W12PE,Penguin Police Station,146.0724,-41.11418333,Western District,W,Police
W12QU,Queenstown Police Station,145.5564,-42.08046667,Western District,W,Police
W12RO,Rosebery Police Station,145.539,-41.77953333,Western District,W,Police
W12SN,Strahan Police Station,145.3183833,-42.15308333,Western District,W,Police
W12UL,Ulverstone Police Station,146.1730333,-41.15643333,Western District,W,Police
W12WA,Waratah Police Station,145.5324,-41.44731667,Western District,W,Police
W12ZE,Zeehan Police Station,145.3383333,-41.88681667,Western District,W,Police
WBYBRG,WESTBURY,146.833654,-41.526837,QUAMBY,N,Fire
WDLBRG,WOODSDALE,147.573397,-42.47315,DULVERTON,S,Fire
WELBRG,WELDBOROUGH,147.904317,-41.193483,BRISEIS,N,Fire
WGBBRG,WATTLE GROVE,147.034693,-43.169155,D ENTRECASTEAUX,S,Fire
WHBBRG,WATTLE HILL,147.62285,-42.76083,SORELL,S,Fire
WHLBRG,WHITE HILLS,147.247569,-41.499461,BEN LOMOND,N,Fire
WHSBRG,WATERHOUSE,147.617473,-40.926811,DORSET,N,Fire
WILBRG,WILMOT,146.175453,-41.386755,BARRINGTON,NW,Fire
WINBRG,WINKLEIGH,146.838532,-41.290142,WEST TAMAR,N,Fire
WLBBRG,WEYMOUTH,147.106886,-41.016804,DALRYMPLE,N,Fire
WLHBRG,WINNALEAH,147.826493,-41.095729,BRISEIS,N,Fire
WLHPIO,WINNALEAH - PIONEER SUB STATION,147.935287,-41.081979,NORTH EAST,N,Fire
WMKBRG,WHITEMARK,148.018133,-40.125505,FLINDERS,N,Fire
WMRBRG,WHITEMORE,146.930839,-41.582503,QUAMBY,N,Fire
WMSBRG,WOOLMERS,147.149822,-41.627327,NORFOLK PLAINS,N,Fire
WTHBRG,WARATAH,145.531837,-41.444096,WEST COAST,NW,Fire
WTHSES,WARATAH SES,145.53223,-41.44408,SES NORTH WEST REGION,NW,SES
WTNBRG,WELLINGTON,147.272184,-42.842168,DERWENT,S,Fire
WTRSES,WEST TAMAR SES,146.951898,-41.300265,SES NORTHERN REGION,N,SES
WVBBRG,WESLEY VALE,146.455545,-41.189837,PARDOE,NW,Fire
WWYBRG,WESTERWAY,146.790298,-42.668872,UPPER DERWENT,S,Fire
WYNBRG,WYNYARD,145.729781,-40.990478,CAPE COUNTRY,NW,Fire
WYNSES,WYNYARD SES,145.709155,-40.986995,SES NORTH WEST REGION,NW,SES
YOLBRG,YOLLA,145.714409,-41.128002,CAPE COUNTRY,NW,Fire
ZEEBRG,ZEEHAN,145.337679,-41.886945,WEST COAST,NW,Fire
ZEESES,ZEEHAN SES,145.335711,-41.884293,SES NORTH WEST REGION,NW,SES
